team,Seas_Opp_Turnover
Tarleton St,16.6
McNeese,16.5
Abl Christian,16.2
High Point,15.7
Iowa St,15.3
Utah Valley,14.9
Howard,14.8
CS Fullerton,14.7
Dayton,14.6
Seattle,14.5
Florida Intl,14.5
Gonzaga,14.5
IU Indy,14.4
N Texas,14.4
Grambling,14.4
San Diego St,14.3
Seton Hall,14.3
Tennessee St,14.2
UC Davis,14.2
Longwood,14.1
Utah St,14.1
Rhode Island,14.0
S Florida,14.0
William & Mary,14.0
Nicholls,14.0
Santa Clara,14.0
Prairie View,14.0
TCU,13.8
St John's,13.8
Georgia,13.8
Houston,13.7
Marquette,13.7
Florida St,13.6
Radford,13.6
Texas A&M,13.6
Bradley,13.5
Florida A&M,13.5
Monmouth,13.5
North Dakota,13.5
New Mexico,13.5
Lindenwood,13.5
Georgia So,13.5
Southern,13.5
C Arkansas,13.4
Iowa,13.4
Alabama St,13.4
Memphis,13.3
NC Central,13.3
Illinois Chicago,13.3
N Kentucky,13.3
Saint Peter's,13.3
UT Martin,13.2
UC Irvine,13.2
S Carolina St,13.2
Chicago St,13.2
Purdue FW,13.2
San Diego,13.2
Merrimack,13.1
Akron,13.1
S Illinois,13.1
Arizona St,13.1
Nebraska,13.0
Norfolk St,13.0
Marist,13.0
CS Bakersfield,13.0
Delaware St,13.0
Duquesne,13.0
St Francis PA,13.0
Bowling Green,13.0
LIU,12.9
N Dakota St,12.9
E Illinois,12.9
American,12.8
NC State,12.8
Vanderbilt,12.8
Miami,12.7
Texas A&M-CC,12.7
Brown,12.7
SE Missouri St,12.7
Texas St,12.7
Miami OH,12.7
Fresno St,12.6
Cincinnati,12.6
DePaul,12.6
Alcorn St,12.6
Kansas St,12.6
Villanova,12.6
Maine,12.6
SE Louisiana,12.6
Long Beach St,12.6
Wake Forest,12.5
Portland St,12.5
Lipscomb,12.5
Little Rock,12.5
G Washington,12.5
Austin Peay,12.5
Southern Miss,12.5
CS Northridge,12.4
Stanford,12.4
Sacramento St,12.4
E Tennessee St,12.4
Cal Poly,12.4
Toledo,12.4
UNLV,12.4
Hawai'i,12.3
Penn,12.3
Ball St,12.3
W Kentucky,12.3
Youngstown St,12.3
Belmont,12.3
Mercyhurst,12.3
S Alabama,12.2
Quinnipiac,12.2
UMass,12.2
SMU,12.2
Buffalo,12.2
Richmond,12.2
Duke,12.2
UT Arlington,12.1
Bucknell,12.1
Coppin St,12.1
Navy,12.1
UConn,12.1
Kent St,12.0
Syracuse,12.0
Virginia Tech,12.0
UCLA,12.0
Winthrop,12.0
Grand Canyon,12.0
Arizona,12.0
Oklahoma St,12.0
Miss Valley St,12.0
UTEP,12.0
VCU,11.9
Penn St,11.9
Portland,11.9
St Thomas,11.9
Campbell,11.9
Louisville,11.8
USC,11.8
Texas So,11.8
Troy,11.8
Utah Tech,11.8
Mercer,11.8
Jackson St,11.8
Kansas City,11.8
AR-Pine Bluff,11.8
Maryland ES,11.8
Nevada,11.8
Louisiana,11.8
Louisiana Tech,11.7
Northeastern,11.7
UCSD,11.7
Tulane,11.7
West Virginia,11.7
Cal Baptist,11.7
Morgan St,11.7
Kennesaw St,11.6
SF Austin,11.6
St Bonaventure,11.6
E Texas A&M,11.6
BYU,11.6
Iona,11.6
Saint Louis,11.6
Murray St,11.6
N Iowa,11.6
C Michigan,11.6
Sam Houston,11.6
Pepperdine,11.6
SC Upstate,11.6
Stony Brook,11.5
FGCU,11.5
Clemson,11.5
Arkansas,11.5
South Dakota,11.5
Marshall,11.5
San Jose St,11.5
Northwestern,11.5
Weber St,11.5
Rutgers,11.5
UAB,11.5
Davidson,11.5
Manhattan,11.5
UCSB,11.5
Lamar,11.4
Wright St,11.4
Ohio,11.4
Hampton,11.4
Mississippi,11.4
Missouri St,11.4
Loyola Mymt,11.4
Missouri,11.4
Valparaiso,11.4
La Salle,11.4
Hou Christian,11.4
E Carolina,11.4
Auburn,11.4
S Indiana,11.4
Bethune,11.4
Elon,11.3
Fairfield,11.3
Georgia St,11.3
SIU Edward,11.3
E Washington,11.3
UCF,11.3
Liberty,11.2
Alabama A&M,11.2
California,11.2
Wyoming,11.2
N Illinois,11.2
UL Monroe,11.2
Georgia Tech,11.2
Baylor,11.2
Lehigh,11.2
Fordham,11.2
Florida,11.2
Illinois St,11.1
Xavier,11.1
