team,Seas_Off_Rebound_Per
Tennessee,0.447
Florida,0.43200000000000005
Illinois,0.384
Arizona,0.381
Arkansas St,0.37799999999999995
Wichita St,0.377
Michigan St,0.371
Virginia,0.37
Robert Morris,0.36700000000000005
Duke,0.365
Saint Mary's,0.365
Cal Baptist,0.36
Saint Peter's,0.359
Louisiana Tech,0.35700000000000004
UT Martin,0.35700000000000004
S Florida,0.35600000000000004
Baylor,0.35600000000000004
Auburn,0.35200000000000004
G Washington,0.35200000000000004
Santa Clara,0.35
Purdue,0.35
Towson,0.348
Fairfield,0.34600000000000003
Morehead St,0.34600000000000003
Michigan,0.345
NC Wilmington,0.345
Illinois Chicago,0.344
Houston,0.344
Texas,0.34299999999999997
Miami,0.342
Lamar,0.342
Gonzaga,0.342
Kent St,0.34
Longwood,0.33899999999999997
UConn,0.337
LIU,0.337
New Orleans,0.336
Rice,0.336
Hofstra,0.336
Kennesaw St,0.336
McNeese,0.336
St John's,0.335
Seton Hall,0.335
Howard,0.33399999999999996
W Carolina,0.33299999999999996
Fordham,0.33299999999999996
Wyoming,0.332
Memphis,0.331
UT Arlington,0.331
Washington,0.331
Sam Houston,0.331
Iowa St,0.33
Troy,0.33
Quinnipiac,0.33
Georgia,0.32899999999999996
SMU,0.32799999999999996
Missouri,0.327
UCF,0.327
Akron,0.327
Columbia,0.325
BYU,0.325
Kentucky,0.325
Utah Valley,0.325
Tennessee St,0.32299999999999995
Texas Tech,0.32299999999999995
Murray St,0.32299999999999995
Pacific,0.32299999999999995
TCU,0.32299999999999995
Florida Intl,0.322
Winthrop,0.322
Oklahoma,0.321
Texas St,0.321
LSU,0.32
Charlotte,0.32
N Dakota St,0.32
St Bonaventure,0.32
N Texas,0.319
Boise St,0.319
Pittsburgh,0.317
Detroit Mercy,0.317
Mt St Mary's,0.317
SF Austin,0.317
Butler,0.317
Idaho St,0.316
Maryland,0.316
E Kentucky,0.316
Louisville,0.316
Yale,0.315
Presbyterian,0.315
Georgetown,0.314
UMass,0.314
Elon,0.314
Campbell,0.313
VCU,0.313
Grand Canyon,0.312
Wright St,0.312
New Mexico St,0.311
Lindenwood,0.311
Utah St,0.311
Mercer,0.309
Rider,0.309
Milwaukee,0.308
La Salle,0.308
Southern Miss,0.308
Oregon,0.308
High Point,0.307
Maryland ES,0.307
Virginia Tech,0.306
App State,0.306
N Kentucky,0.305
Wagner,0.305
Nevada,0.305
USC,0.304
UMass Lowell,0.304
Navy,0.303
Siena,0.303
Valparaiso,0.303
Marshall,0.302
Florida Atlantic,0.302
Jacksonville,0.302
Arkansas,0.302
Alabama St,0.302
E Carolina,0.302
UNLV,0.301
UAB,0.301
Villanova,0.3
Stanford,0.3
Saint Joseph's,0.299
Weber St,0.299
Albany,0.299
San Francisco,0.298
Texas A&M,0.298
UCSB,0.298
Little Rock,0.297
Incarnate Word,0.297
Norfolk St,0.29600000000000004
S Illinois,0.29600000000000004
Providence,0.29600000000000004
West Virginia,0.295
Drexel,0.295
W Kentucky,0.295
Southern,0.295
Rhode Island,0.295
Furman,0.295
Monmouth,0.294
NC A&T,0.294
Alabama,0.293
Saint Louis,0.293
W Georgia,0.293
S Carolina St,0.293
Notre Dame,0.293
Florida St,0.293
Florida A&M,0.292
North Carolina,0.292
F Dickinson,0.292
Hawai'i,0.29100000000000004
UC Irvine,0.29100000000000004
Tulsa,0.29100000000000004
Cincinnati,0.29
Vanderbilt,0.29
New Mexico,0.289
UCLA,0.289
E Washington,0.289
Hampton,0.289
George Mason,0.289
FGCU,0.28800000000000003
CS Northridge,0.28800000000000003
Youngstown St,0.287
Oklahoma St,0.287
Denver,0.287
J Madison,0.287
Penn,0.28600000000000003
Tenn Tech,0.28600000000000003
S Indiana,0.28600000000000003
Queens,0.28600000000000003
Duquesne,0.285
Oakland,0.284
CS Bakersfield,0.284
Grambling,0.284
DePaul,0.284
Loyola Chi,0.28300000000000003
San Diego St,0.28300000000000003
SE Missouri St,0.28300000000000003
Rutgers,0.28300000000000003
Cornell,0.28300000000000003
N Alabama,0.28300000000000003
Tarleton St,0.28300000000000003
NC Asheville,0.282
Texas A&M-CC,0.282
Bethune,0.282
Iowa,0.282
Wofford,0.282
S Dakota St,0.282
Charleston So,0.281
Kansas,0.28
SIU Edward,0.28
Colorado St,0.28
Missouri St,0.28
Ohio St,0.27899999999999997
C Michigan,0.278
Wake Forest,0.278
Austin Peay,0.278
Jacksonville St,0.278
Middle Tenn,0.278
Charleston,0.278
Cal Poly,0.278
Mississippi St,0.27699999999999997
W Michigan,0.27699999999999997
Coppin St,0.276
Abl Christian,0.276
N Illinois,0.275
Belmont,0.275
Hou Christian,0.27399999999999997
San Jose St,0.27399999999999997
Marquette,0.273
Illinois St,0.273
Wisconsin,0.273
Marist,0.273
Texas So,0.273
Washington St,0.272
Army,0.272
NC Central,0.272
Colorado,0.272
E Tennessee St,0.272
UTSA,0.272
Jackson St,0.272
Arizona St,0.271
Toledo,0.271
Kansas St,0.271
Nicholls,0.27
Davidson,0.26899999999999996
NC State,0.26899999999999996
SE Louisiana,0.26899999999999996
Canisius,0.26899999999999996
Morgan St,0.268
Portland St,0.268
Sacred Heart,0.266
Oral Roberts,0.266
Radford,0.265
Utah,0.265
Utah Tech,0.265
Ohio,0.264
Georgia Tech,0.264
Clemson,0.264
S Utah,0.264
Brown,0.264
IU Indy,0.264
Louisiana,0.263
Manhattan,0.263
Georgia So,0.262
C Arkansas,0.262
Syracuse,0.262
Temple,0.262
South Dakota,0.262
Bowling Green,0.261
The Citadel,0.26
UT Rio Grande,0.26
Portland,0.26
SC Upstate,0.26
Pepperdine,0.259
Boston College,0.259
San Diego,0.259
Stonehill,0.259
UC Riverside,0.258
North Dakota,0.258
Boston U,0.258
Mississippi,0.258
E Illinois,0.256
Delaware St,0.256
Northwestern,0.256
Coastal Car,0.256
Buffalo,0.256
Bradley,0.256
Creighton,0.256
Loyola MD,0.256
Idaho,0.255
C Connecticut,0.255
NC Greensboro,0.254
AR-Pine Bluff,0.254
E Michigan,0.254
Fresno St,0.253
Nebraska,0.253
Dayton,0.252
Alabama A&M,0.251
Northeastern,0.251
Montana St,0.251
South Carolina,0.251
St Francis PA,0.249
Oregon St,0.248
Georgia St,0.248
Stetson,0.248
Harvard,0.248
Alcorn St,0.248
American,0.248
Princeton,0.247
Bucknell,0.247
Bryant,0.24600000000000002
Iona,0.24600000000000002
Minnesota,0.24600000000000002
Stony Brook,0.24600000000000002
Loyola Mymt,0.245
UTEP,0.245
Kansas City,0.245
W Illinois,0.244
Xavier,0.244
Prairie View,0.244
