team,Seas_Turnovers
Pacific,13.3
Delaware St,13.3
Brown,13.3
Kent St,13.3
Texas So,13.3
AR-Pine Bluff,13.4
Georgia Tech,13.4
UC Riverside,13.5
Memphis,13.6
Alcorn St,13.6
Lindenwood,13.6
Longwood,13.7
Indiana St,13.7
CS Bakersfield,13.7
Howard,13.8
Bethune,13.8
Hawai'i,13.8
Portland,13.8
Montana,13.9
Jackson St,13.9
Charleston So,13.9
UT Arlington,14.0
Gardner-Webb,14.0
Utah Valley,14.2
UT Martin,14.2
Tarleton St,14.3
New Orleans,14.4
Abl Christian,14.4
S Utah,14.4
Arkansas St,14.6
S Carolina St,14.6
Grambling,14.7
Air Force,14.8
N Illinois,15.0
Cal Poly,15.2
Florida A&M,15.2
Mt St Mary's,15.2
Miss Valley St,15.4
Coppin St,15.4
Maryland ES,15.7
