team,Seas_Succ_3PT
Army,0.435
VMI,0.43200000000000005
Texas Tech,0.43
Wisconsin,0.425
Cornell,0.425
Sacred Heart,0.424
N Florida,0.423
E Kentucky,0.42200000000000004
Cleveland St,0.41600000000000004
Charleston So,0.414
Alabama,0.414
Nebraska,0.409
Louisville,0.408
Liberty,0.40299999999999997
Lipscomb,0.402
Dartmouth,0.401
Cal Poly,0.4
C Arkansas,0.39899999999999997
Stony Brook,0.396
Chattanooga,0.39299999999999996
Creighton,0.39299999999999996
Colorado St,0.39299999999999996
Delaware,0.39
Belmont,0.389
Iona,0.38799999999999996
Florida St,0.38799999999999996
Illinois,0.38799999999999996
The Citadel,0.385
Youngstown St,0.384
Tulsa,0.379
Rice,0.37799999999999995
Saint Louis,0.37799999999999995
Loyola MD,0.377
Indiana,0.377
Virginia,0.376
Akron,0.376
Idaho,0.375
Stetson,0.375
Villanova,0.374
Hofstra,0.374
Montana St,0.373
Marshall,0.373
Washington St,0.37200000000000005
San Diego,0.37200000000000005
Davidson,0.37200000000000005
NC State,0.371
Bryant,0.371
Buffalo,0.37
Georgia So,0.37
Texas A&M,0.37
Boston U,0.369
Loyola Chi,0.369
American,0.368
Minnesota,0.368
Cincinnati,0.368
Drake,0.368
Purdue FW,0.36700000000000005
Santa Clara,0.366
UT Rio Grande,0.366
San Francisco,0.365
Middle Tenn,0.365
G Washington,0.364
Stanford,0.364
Maryland,0.364
Coastal Car,0.363
Notre Dame,0.363
Princeton,0.36200000000000004
Samford,0.361
Charlotte,0.361
E Texas A&M,0.361
Robert Morris,0.359
Queens,0.359
UCSB,0.359
Xavier,0.358
Louisiana,0.35700000000000004
St Thomas,0.35700000000000004
N Dakota St,0.35600000000000004
Kansas St,0.35600000000000004
Richmond,0.353
Oklahoma,0.353
Merrimack,0.353
Nicholls,0.353
New Hampshire,0.35200000000000004
Furman,0.35100000000000003
F Dickinson,0.35
Oral Roberts,0.349
UT Martin,0.349
California,0.349
Kent St,0.348
Drexel,0.348
Pittsburgh,0.348
Troy,0.34700000000000003
N Illinois,0.34700000000000003
Vermont,0.34700000000000003
Oregon St,0.34600000000000003
Elon,0.34600000000000003
Evansville,0.34600000000000003
Wofford,0.34600000000000003
Saint Joseph's,0.345
Indiana St,0.344
SF Austin,0.344
Radford,0.34299999999999997
VCU,0.34299999999999997
J Madison,0.34299999999999997
Canisius,0.342
Stonehill,0.342
N Kentucky,0.342
Houston,0.342
UTEP,0.342
Illinois St,0.341
IU Indy,0.341
Wake Forest,0.341
Purdue,0.341
CS Fullerton,0.341
Murray St,0.341
Jackson St,0.34
Niagara,0.34
Incarnate Word,0.33899999999999997
New Mexico,0.33899999999999997
Miami OH,0.33799999999999997
Mt St Mary's,0.33799999999999997
Bradley,0.337
Loyola Mymt,0.336
Arkansas St,0.335
West Virginia,0.335
App State,0.335
UC Davis,0.335
Winthrop,0.33399999999999996
W Carolina,0.33299999999999996
Duquesne,0.33299999999999996
Clemson,0.332
Georgia St,0.332
Duke,0.331
Iowa St,0.331
Oregon,0.331
Vanderbilt,0.33
N Colorado,0.32899999999999996
Harvard,0.32899999999999996
S Florida,0.32899999999999996
UCSD,0.32899999999999996
N Iowa,0.32799999999999996
UTSA,0.32799999999999996
Bucknell,0.32799999999999996
Georgia,0.32799999999999996
UL Monroe,0.32799999999999996
Montana,0.32799999999999996
San Jose St,0.327
Kennesaw St,0.327
Tulane,0.327
