team,Seas_Opp_3PT_Succ
UT Arlington,0.26899999999999996
Marist,0.28600000000000003
N Iowa,0.289
Maine,0.293
NC Wilmington,0.295
Cal Baptist,0.297
Nebraska,0.299
Saint Louis,0.3
Navy,0.301
UT Martin,0.302
Michigan,0.302
SIU Edward,0.302
New Mexico,0.303
Merrimack,0.303
UConn,0.303
Drexel,0.303
UT Rio Grande,0.304
Howard,0.304
S Illinois,0.304
SF Austin,0.304
Duke,0.304
Memphis,0.305
Tennessee,0.306
Iona,0.306
Virginia Tech,0.306
N Colorado,0.307
Kansas,0.307
Utah Tech,0.307
Hawai'i,0.307
Fresno St,0.307
Gonzaga,0.308
Virginia,0.309
USC,0.309
N Texas,0.309
California,0.309
Towson,0.309
Wichita St,0.309
Cincinnati,0.31
Princeton,0.311
Saint Mary's,0.312
Indiana St,0.313
St John's,0.313
Troy,0.313
Illinois,0.314
St Thomas,0.314
Texas Tech,0.314
Arizona,0.314
Morgan St,0.315
UCSD,0.315
Ohio St,0.316
Kentucky,0.316
Texas A&M-CC,0.316
Charleston So,0.316
E Illinois,0.317
Texas A&M,0.317
Arkansas,0.317
Penn,0.317
UCLA,0.318
Saint Joseph's,0.318
South Carolina,0.318
Boston College,0.319
LIU,0.319
Grand Canyon,0.319
High Point,0.319
Norfolk St,0.32
Old Dominion,0.32
Hampton,0.321
Houston,0.321
Iowa St,0.321
Saint Peter's,0.321
Valparaiso,0.321
App State,0.322
Vanderbilt,0.322
UMBC,0.322
Montana,0.32299999999999995
Sam Houston,0.32299999999999995
Davidson,0.32299999999999995
Hofstra,0.32299999999999995
Seton Hall,0.32299999999999995
Portland St,0.32299999999999995
NJIT,0.32299999999999995
Mercyhurst,0.32299999999999995
Mt St Mary's,0.32299999999999995
Florida,0.324
New Mexico St,0.324
Seattle,0.324
Lindenwood,0.324
New Orleans,0.324
George Mason,0.325
McNeese,0.325
Charleston,0.326
Clemson,0.326
NC Asheville,0.326
Harvard,0.326
UAB,0.326
Marquette,0.326
Furman,0.326
Grambling,0.327
San Diego,0.327
J Madison,0.327
Louisville,0.327
Richmond,0.327
Illinois Chicago,0.327
Coastal Car,0.32799999999999996
Loyola MD,0.32799999999999996
Temple,0.32799999999999996
Siena,0.32799999999999996
Lehigh,0.32799999999999996
E Tennessee St,0.32899999999999996
E Michigan,0.32899999999999996
Michigan St,0.32899999999999996
Bethune,0.32899999999999996
Winthrop,0.32899999999999996
Omaha,0.32899999999999996
Arkansas St,0.32899999999999996
Oregon St,0.32899999999999996
Santa Clara,0.33
Alcorn St,0.33
S Alabama,0.33
UMass,0.33
Wyoming,0.33
Delaware St,0.33
Canisius,0.33
Miami OH,0.33
Wake Forest,0.33
William & Mary,0.331
W Georgia,0.331
Indiana,0.331
SE Missouri St,0.331
VCU,0.331
Georgia St,0.331
Georgia Tech,0.331
Robert Morris,0.332
AR-Pine Bluff,0.332
Austin Peay,0.332
Notre Dame,0.332
Georgetown,0.33299999999999996
Wisconsin,0.33299999999999996
Butler,0.33299999999999996
Detroit Mercy,0.33299999999999996
Jacksonville St,0.33299999999999996
UC Irvine,0.33299999999999996
Oregon,0.33399999999999996
Northwestern,0.33399999999999996
C Connecticut,0.33399999999999996
Fordham,0.33399999999999996
Illinois St,0.33399999999999996
Stonehill,0.33399999999999996
Mississippi,0.33399999999999996
Charlotte,0.335
N Dakota St,0.335
S Carolina St,0.335
Maryland ES,0.335
Brown,0.335
Tennessee St,0.335
Alabama,0.335
UC Riverside,0.335
Tulsa,0.335
Weber St,0.335
Bowling Green,0.335
Marshall,0.336
G Washington,0.336
Washington,0.336
San Diego St,0.336
Wright St,0.336
Georgia,0.337
Kansas St,0.337
Iowa,0.337
Stanford,0.337
TCU,0.337
Florida Atlantic,0.33799999999999997
Longwood,0.33799999999999997
UC Davis,0.33799999999999997
SMU,0.33899999999999997
Monmouth,0.33899999999999997
Kennesaw St,0.33899999999999997
UCSB,0.33899999999999997
Utah St,0.33899999999999997
Villanova,0.33899999999999997
S Florida,0.33899999999999997
Mississippi St,0.33899999999999997
Middle Tenn,0.33899999999999997
Holy Cross,0.34
Louisiana Tech,0.34
UTEP,0.34
Rice,0.34
UCF,0.34
CS Fullerton,0.34
Nevada,0.341
Syracuse,0.341
San Francisco,0.341
Texas So,0.341
S Dakota St,0.341
S Indiana,0.341
Alabama St,0.342
Chattanooga,0.342
Purdue,0.342
Oklahoma,0.342
Belmont,0.342
New Haven,0.34299999999999997
Montana St,0.34299999999999997
Fairfield,0.34299999999999997
Wagner,0.34299999999999997
New Hampshire,0.34299999999999997
Colorado St,0.34299999999999997
W Kentucky,0.34299999999999997
Oakland,0.34299999999999997
Lipscomb,0.34299999999999997
Georgia So,0.34299999999999997
Missouri St,0.344
CS Northridge,0.344
Little Rock,0.344
Long Beach St,0.344
Boise St,0.344
Incarnate Word,0.344
North Carolina,0.345
Tulane,0.345
Southern Miss,0.345
Toledo,0.345
South Dakota,0.345
Idaho St,0.345
Morehead St,0.345
Stetson,0.34600000000000003
Nicholls,0.34600000000000003
Loyola Mymt,0.34600000000000003
UMass Lowell,0.34600000000000003
Dartmouth,0.34600000000000003
Florida St,0.34600000000000003
Cal Poly,0.34700000000000003
Rhode Island,0.34700000000000003
Pacific,0.34700000000000003
Presbyterian,0.34700000000000003
Minnesota,0.34700000000000003
Jackson St,0.348
Xavier,0.348
Colgate,0.348
Utah Valley,0.348
Ball St,0.348
Idaho,0.348
Sacred Heart,0.348
Kent St,0.349
Quinnipiac,0.349
Yale,0.349
Florida A&M,0.349
Tarleton St,0.349
E Carolina,0.349
West Virginia,0.35
Hou Christian,0.35
Prairie View,0.35
Arizona St,0.35
UTSA,0.35100000000000003
Buffalo,0.35100000000000003
Akron,0.35100000000000003
N Florida,0.35100000000000003
Utah,0.35100000000000003
Delaware,0.35100000000000003
Sacramento St,0.35200000000000004
Columbia,0.35200000000000004
E Washington,0.35200000000000004
C Arkansas,0.35200000000000004
Pittsburgh,0.35200000000000004
Providence,0.353
Lamar,0.353
BYU,0.353
Vermont,0.353
Niagara,0.353
Creighton,0.354
LSU,0.354
UNLV,0.354
Alabama A&M,0.354
Washington St,0.354
Oklahoma St,0.354
Miami,0.354
DePaul,0.354
FGCU,0.354
Pepperdine,0.355
Campbell,0.355
NW State,0.355
Radford,0.355
Youngstown St,0.355
C Michigan,0.355
American,0.355
Baylor,0.355
Army,0.35600000000000004
Louisiana,0.35600000000000004
W Illinois,0.35600000000000004
NC State,0.35600000000000004
SC Upstate,0.35600000000000004
Dayton,0.35600000000000004
Chicago St,0.35600000000000004
Stony Brook,0.35700000000000004
N Alabama,0.35700000000000004
Texas St,0.35700000000000004
Queens,0.358
Binghamton,0.358
Tenn Tech,0.358
Northeastern,0.358
Rutgers,0.358
Texas,0.36
Lafayette,0.36
St Bonaventure,0.36
Gardner-Webb,0.36
SE Louisiana,0.36
Albany,0.36
Le Moyne,0.36
San Jose St,0.36
CS Bakersfield,0.36
W Michigan,0.361
Portland,0.361
Cleveland St,0.36200000000000004
Mercer,0.36200000000000004
E Kentucky,0.36200000000000004
Florida Intl,0.36200000000000004
Duquesne,0.36200000000000004
Murray St,0.363
N Illinois,0.363
Green Bay,0.363
Bradley,0.363
Maryland,0.363
Jacksonville,0.363
Bryant,0.363
NC Central,0.364
Wofford,0.364
Drake,0.364
La Salle,0.365
Milwaukee,0.365
Samford,0.365
VMI,0.365
Elon,0.365
Missouri,0.365
Boston U,0.365
Auburn,0.365
NC A&T,0.366
Manhattan,0.366
N Kentucky,0.366
The Citadel,0.366
W Carolina,0.36700000000000005
Denver,0.36700000000000005
Ohio,0.368
Loyola Chi,0.368
Southern,0.368
Colorado,0.368
UL Monroe,0.369
Bucknell,0.37
North Dakota,0.371
Miss Valley St,0.37200000000000005
E Texas A&M,0.373
Oral Roberts,0.374
Cornell,0.375
Kansas City,0.376
Evansville,0.376
Air Force,0.376
F Dickinson,0.37799999999999995
Purdue FW,0.379
Rider,0.379
NC Greensboro,0.38
S Utah,0.38
St Francis PA,0.381
Coppin St,0.38299999999999995
Liberty,0.38299999999999995
IU Indy,0.385
N Arizona,0.387
Penn St,0.38799999999999996
Bellarmine,0.40399999999999997
Abl Christian,0.409
