team,Seas_FT_Succ
Saint Mary's,0.8109999999999999
Harvard,0.8079999999999999
Manhattan,0.7959999999999999
Vanderbilt,0.7929999999999999
Detroit Mercy,0.789
Illinois,0.789
Bellarmine,0.7879999999999999
Merrimack,0.7879999999999999
Boise St,0.787
Delaware,0.7859999999999999
Georgia St,0.7859999999999999
Wisconsin,0.7859999999999999
Cal Poly,0.785
Tulsa,0.7829999999999999
South Carolina,0.7809999999999999
Sacramento St,0.7809999999999999
Marist,0.7809999999999999
Indiana,0.78
Sacred Heart,0.78
N Florida,0.778
Ohio St,0.775
UCSB,0.775
Green Bay,0.775
Wake Forest,0.774
California,0.774
Chattanooga,0.774
Montana,0.773
Holy Cross,0.772
Oregon St,0.772
Houston,0.772
Denver,0.7709999999999999
Colorado St,0.7709999999999999
Iowa,0.77
Louisville,0.769
Siena,0.769
Bucknell,0.768
NC State,0.768
C Connecticut,0.767
Kansas,0.767
Tulane,0.767
UCLA,0.767
Alabama,0.765
UMBC,0.764
Washington,0.764
LSU,0.764
UT Rio Grande,0.763
Tennessee St,0.763
Michigan St,0.763
Tenn Tech,0.762
Cleveland St,0.762
Texas St,0.762
Bryant,0.76
Creighton,0.76
Hofstra,0.759
Yale,0.759
Jackson St,0.758
American,0.758
Pepperdine,0.758
N Colorado,0.758
Providence,0.757
Murray St,0.757
Colorado,0.757
W Kentucky,0.757
AR-Pine Bluff,0.755
Pacific,0.755
Georgia,0.754
Grand Canyon,0.753
Arizona St,0.753
UC Davis,0.753
Texas,0.753
Binghamton,0.753
Akron,0.753
Toledo,0.752
Nevada,0.752
Prairie View,0.752
Fresno St,0.7509999999999999
Oakland,0.7509999999999999
Oklahoma St,0.7509999999999999
Northwestern,0.7509999999999999
Dayton,0.7509999999999999
Wyoming,0.75
Miami OH,0.75
Nebraska,0.75
Monmouth,0.75
Penn St,0.75
Chicago St,0.75
Lipscomb,0.7490000000000001
Mississippi,0.7490000000000001
William & Mary,0.7490000000000001
Queens,0.7490000000000001
Princeton,0.748
E Tennessee St,0.747
Michigan,0.747
San Diego,0.747
Arkansas,0.747
Temple,0.747
Colgate,0.747
St Bonaventure,0.747
Richmond,0.747
BYU,0.746
Oklahoma,0.745
Washington St,0.745
Wright St,0.745
Saint Louis,0.7440000000000001
W Michigan,0.7440000000000001
E Illinois,0.7440000000000001
Kent St,0.7440000000000001
Auburn,0.7440000000000001
Georgia So,0.743
S Florida,0.743
Morgan St,0.743
New Orleans,0.743
Purdue,0.743
Virginia Tech,0.743
E Washington,0.743
High Point,0.742
Howard,0.742
Dartmouth,0.742
UC Riverside,0.742
Tarleton St,0.742
South Dakota,0.742
SMU,0.741
Morehead St,0.741
Saint Joseph's,0.741
Rutgers,0.741
Bradley,0.741
Idaho St,0.741
Mercyhurst,0.741
McNeese,0.74
Portland,0.74
Montana St,0.74
Georgetown,0.74
NW State,0.74
Longwood,0.74
Oral Roberts,0.74
Cornell,0.74
UCF,0.74
Santa Clara,0.74
VCU,0.7390000000000001
NC Central,0.738
Hawai'i,0.738
San Jose St,0.738
Alabama A&M,0.738
CS Bakersfield,0.738
Troy,0.738
Utah,0.738
Navy,0.737
Texas A&M,0.737
Buffalo,0.737
Southern Miss,0.736
Charleston,0.736
Saint Peter's,0.736
Evansville,0.736
New Mexico St,0.735
NC A&T,0.735
Arizona,0.7340000000000001
Boston U,0.7340000000000001
Austin Peay,0.7340000000000001
Youngstown St,0.733
Arkansas St,0.733
Old Dominion,0.733
Baylor,0.733
E Michigan,0.732
Oregon,0.732
Omaha,0.732
Stanford,0.731
Coastal Car,0.731
San Diego St,0.73
Mercer,0.73
Marshall,0.73
Lehigh,0.7290000000000001
Weber St,0.7290000000000001
Idaho,0.7290000000000001
Winthrop,0.7290000000000001
Grambling,0.7290000000000001
Xavier,0.7290000000000001
Kentucky,0.728
St John's,0.727
UL Monroe,0.727
Virginia,0.726
USC,0.726
Clemson,0.726
Utah Tech,0.726
Illinois Chicago,0.726
Wagner,0.726
Long Beach St,0.725
La Salle,0.725
Campbell,0.725
Hampton,0.725
Duke,0.7240000000000001
E Kentucky,0.7240000000000001
UT Arlington,0.723
Bowling Green,0.723
New Mexico,0.723
Stony Brook,0.723
Jacksonville,0.723
Seton Hall,0.723
VMI,0.722
Maryland,0.722
Niagara,0.722
IU Indy,0.721
Memphis,0.721
Rhode Island,0.721
George Mason,0.721
FGCU,0.721
N Kentucky,0.721
Sam Houston,0.72
S Dakota St,0.72
Butler,0.7190000000000001
Texas So,0.7190000000000001
Canisius,0.7190000000000001
Vermont,0.7190000000000001
Cal Baptist,0.7190000000000001
G Washington,0.718
Le Moyne,0.718
Army,0.7170000000000001
N Dakota St,0.716
UConn,0.716
Miss Valley St,0.716
CS Fullerton,0.716
Charlotte,0.716
Duquesne,0.715
S Utah,0.715
Loyola MD,0.715
Maryland ES,0.715
Texas Tech,0.715
Elon,0.7140000000000001
Drake,0.7140000000000001
W Carolina,0.7140000000000001
Florida St,0.713
Incarnate Word,0.7120000000000001
Georgia Tech,0.711
Radford,0.71
Ohio,0.71
Portland St,0.71
Florida,0.71
Ball St,0.71
Kansas St,0.71
Illinois St,0.7090000000000001
San Francisco,0.7090000000000001
Wofford,0.7090000000000001
