team,Seas_FT_Succ
Valparaiso,0.7090000000000001
TCU,0.708
Alcorn St,0.708
C Arkansas,0.7070000000000001
Purdue FW,0.7070000000000001
Liberty,0.7070000000000001
Lamar,0.7070000000000001
Iona,0.7070000000000001
Utah St,0.706
UAB,0.706
NJIT,0.705
Alabama St,0.705
Fairfield,0.705
NC Greensboro,0.7040000000000001
Abl Christian,0.7040000000000001
W Georgia,0.7040000000000001
UTEP,0.7040000000000001
Louisiana,0.7040000000000001
Florida Atlantic,0.703
Seattle,0.703
J Madison,0.703
Florida A&M,0.703
Fordham,0.7020000000000001
New Haven,0.7020000000000001
Middle Tenn,0.7020000000000001
Rider,0.701
Columbia,0.701
F Dickinson,0.701
Kennesaw St,0.7
Minnesota,0.7
N Texas,0.7
E Carolina,0.7
Gonzaga,0.6990000000000001
UTSA,0.698
Furman,0.698
C Michigan,0.6970000000000001
N Iowa,0.6970000000000001
Notre Dame,0.6970000000000001
Bethune,0.6970000000000001
Loyola Mymt,0.695
SE Missouri St,0.695
St Francis PA,0.695
Penn,0.695
North Dakota,0.695
UC Irvine,0.695
Southern,0.695
Florida Intl,0.6940000000000001
Tennessee,0.6940000000000001
Villanova,0.6940000000000001
Hou Christian,0.6940000000000001
Robert Morris,0.6940000000000001
UCSD,0.693
Stetson,0.6920000000000001
Samford,0.6920000000000001
DePaul,0.6920000000000001
Quinnipiac,0.691
NC Wilmington,0.691
Northeastern,0.69
Towson,0.6890000000000001
Delaware St,0.6890000000000001
Lafayette,0.6890000000000001
N Arizona,0.6890000000000001
St Thomas,0.688
Wichita St,0.688
SF Austin,0.687
Milwaukee,0.687
Belmont,0.6859999999999999
Missouri,0.6859999999999999
Stonehill,0.685
Miami,0.685
Presbyterian,0.685
Gardner-Webb,0.685
Jacksonville St,0.684
N Alabama,0.684
North Carolina,0.684
Brown,0.684
UNLV,0.684
NC Asheville,0.684
SE Louisiana,0.684
S Illinois,0.6829999999999999
Utah Valley,0.682
Norfolk St,0.6809999999999999
SC Upstate,0.6809999999999999
Cincinnati,0.6809999999999999
Rice,0.6809999999999999
Little Rock,0.68
E Texas A&M,0.679
Indiana St,0.6779999999999999
UT Martin,0.677
West Virginia,0.677
Marquette,0.675
Texas A&M-CC,0.674
Lindenwood,0.674
Pittsburgh,0.674
Mt St Mary's,0.674
Missouri St,0.6729999999999999
UMass,0.6729999999999999
Loyola Chi,0.6729999999999999
Iowa St,0.672
Louisiana Tech,0.672
Coppin St,0.672
SIU Edward,0.6709999999999999
LIU,0.6679999999999999
S Carolina St,0.6679999999999999
CS Northridge,0.6679999999999999
S Indiana,0.6659999999999999
Drexel,0.665
The Citadel,0.665
Nicholls,0.662
W Illinois,0.662
Kansas City,0.662
Mississippi St,0.66
Albany,0.659
UMass Lowell,0.657
S Alabama,0.657
N Illinois,0.657
Boston College,0.653
New Hampshire,0.6509999999999999
Charleston So,0.648
Syracuse,0.648
App State,0.645
Maine,0.643
Air Force,0.6409999999999999
Davidson,0.638
